user_id,event_type,event_date
1,payment,2024-02-21
1,start_lesson,2024-02-21
2,login,2024-03-04
2,registration,2024-03-18
3,login,2024-02-10
4,login,2024-02-06
4,start_lesson,2024-02-12
5,login,2024-03-05
6,start_lesson,2024-01-16
7,start_lesson,2024-03-21
7,start_lesson,2024-03-11
8,start_lesson,2024-01-21
8,login,2024-01-24
8,login,2024-02-20
9,registration,2024-03-08
9,start_lesson,2024-03-02
9,login,2024-02-12
10,login,2024-03-03
11,start_lesson,2024-01-20
11,login,2024-01-23
11,login,2024-01-31
11,start_lesson,2024-02-02
11,payment,2024-01-29
12,payment,2024-02-17
12,payment,2024-01-23
12,login,2024-02-04
12,payment,2024-01-30
13,login,2024-01-13
13,registration,2024-01-13
13,login,2024-01-17
13,login,2024-01-21
14,registration,2024-02-08
15,login,2024-02-23
16,payment,2024-03-03
16,login,2024-03-01
16,start_lesson,2024-03-05
16,login,2024-02-25
17,registration,2024-02-05
17,start_lesson,2024-02-18
17,start_lesson,2024-02-18
17,registration,2024-02-11
17,registration,2024-02-19
18,start_lesson,2024-03-10
18,login,2024-02-29
18,login,2024-03-02
19,registration,2024-02-08
19,login,2024-02-15
20,login,2024-01-04
20,registration,2024-01-15
21,login,2024-02-09
21,login,2024-02-12
21,login,2024-01-23
21,login,2024-02-06
22,login,2024-03-15
23,login,2024-01-09
23,registration,2024-01-12
23,login,2024-01-27
23,start_lesson,2024-02-01
24,login,2024-02-18
24,login,2024-02-20
24,start_lesson,2024-02-16
24,login,2024-01-28
24,login,2024-02-23
25,login,2024-02-21
25,start_lesson,2024-03-03
26,start_lesson,2024-02-08
26,login,2024-02-23
27,start_lesson,2024-02-15
27,login,2024-02-12
27,start_lesson,2024-03-06
27,start_lesson,2024-03-02
28,registration,2024-01-21
28,registration,2024-01-17
29,start_lesson,2024-03-27
29,start_lesson,2024-03-06
29,login,2024-03-21
30,start_lesson,2024-02-02
31,login,2024-02-23
31,payment,2024-02-17
31,registration,2024-02-04
31,start_lesson,2024-02-20
31,start_lesson,2024-02-15
32,login,2024-01-21
32,login,2024-01-19
32,registration,2024-01-23
32,login,2024-01-19
32,login,2024-02-03
33,start_lesson,2024-03-26
33,login,2024-03-24
33,payment,2024-03-25
33,start_lesson,2024-03-07
33,login,2024-03-17
34,start_lesson,2024-01-27
34,login,2024-02-15
34,login,2024-02-20
34,login,2024-02-21
35,login,2024-03-10
36,login,2024-02-17
36,login,2024-03-11
36,login,2024-03-01
36,login,2024-02-15
37,login,2024-02-12
38,login,2024-03-13
39,login,2024-02-22
39,start_lesson,2024-01-27
39,login,2024-02-06
39,login,2024-02-13
39,start_lesson,2024-02-02
40,start_lesson,2024-03-01
40,login,2024-03-01
40,login,2024-03-10
40,login,2024-03-23
40,login,2024-03-18
41,start_lesson,2024-03-03
41,start_lesson,2024-03-12
41,start_lesson,2024-02-13
41,start_lesson,2024-03-11
42,login,2024-02-26
43,login,2024-03-02
43,start_lesson,2024-03-23
43,start_lesson,2024-03-18
43,login,2024-03-17
43,login,2024-03-03
44,login,2024-01-24
44,login,2024-02-12
45,login,2024-01-19
45,login,2024-01-30
45,login,2024-01-22
46,registration,2024-03-09
46,registration,2024-03-02
46,start_lesson,2024-03-10
47,login,2024-03-02
47,payment,2024-03-08
47,registration,2024-02-28
47,start_lesson,2024-02-27
48,start_lesson,2024-02-20
49,login,2024-03-09
49,login,2024-03-12
50,registration,2024-03-16
50,start_lesson,2024-02-26
50,login,2024-03-17
50,login,2024-03-19
51,start_lesson,2024-03-18
51,login,2024-03-11
51,login,2024-03-11
51,login,2024-03-26
51,login,2024-03-05
52,start_lesson,2024-01-22
52,start_lesson,2024-01-05
52,payment,2024-01-31
53,login,2024-02-20
53,login,2024-02-08
53,start_lesson,2024-02-24
53,start_lesson,2024-02-28
54,payment,2024-02-20
54,login,2024-03-14
54,login,2024-03-13
54,start_lesson,2024-03-05
55,login,2024-01-09
55,registration,2024-01-13
55,start_lesson,2024-01-15
