user_id,event_type,event_date,lesson_id,lesson_date
1,start_lesson,2024-02-21,869,2024-02-21
4,start_lesson,2024-02-12,239,2024-02-12
6,start_lesson,2024-01-16,993,2024-01-16
7,start_lesson,2024-03-21,858,2024-03-21
7,start_lesson,2024-03-11,331,2024-03-11
8,start_lesson,2024-01-21,667,2024-01-21
9,start_lesson,2024-03-02,187,2024-03-02
11,start_lesson,2024-01-20,865,2024-01-20
11,start_lesson,2024-02-02,663,2024-02-02
16,start_lesson,2024-03-05,858,2024-03-05
17,start_lesson,2024-02-18,863,2024-02-18
17,start_lesson,2024-02-18,736,2024-02-18
18,start_lesson,2024-03-10,300,2024-03-10
23,start_lesson,2024-02-01,487,2024-02-01
24,start_lesson,2024-02-16,460,2024-02-16
25,start_lesson,2024-03-03,231,2024-03-03
26,start_lesson,2024-02-08,276,2024-02-08
27,start_lesson,2024-02-15,151,2024-02-15
27,start_lesson,2024-03-06,645,2024-03-06
27,start_lesson,2024-03-02,121,2024-03-02
29,start_lesson,2024-03-27,752,2024-03-27
29,start_lesson,2024-03-06,418,2024-03-06
30,start_lesson,2024-02-02,882,2024-02-02
31,start_lesson,2024-02-20,267,2024-02-20
31,start_lesson,2024-02-15,137,2024-02-15
33,start_lesson,2024-03-26,972,2024-03-26
33,start_lesson,2024-03-07,857,2024-03-07
34,start_lesson,2024-01-27,846,2024-01-27
39,start_lesson,2024-01-27,666,2024-01-27
39,start_lesson,2024-02-02,472,2024-02-02
40,start_lesson,2024-03-01,731,2024-03-01
41,start_lesson,2024-03-03,677,2024-03-03
41,start_lesson,2024-03-12,933,2024-03-12
41,start_lesson,2024-02-13,526,2024-02-13
41,start_lesson,2024-03-11,939,2024-03-11
43,start_lesson,2024-03-23,265,2024-03-23
43,start_lesson,2024-03-18,821,2024-03-18
46,start_lesson,2024-03-10,601,2024-03-10
47,start_lesson,2024-02-27,174,2024-02-27
48,start_lesson,2024-02-20,539,2024-02-20
50,start_lesson,2024-02-26,745,2024-02-26
51,start_lesson,2024-03-18,364,2024-03-18
52,start_lesson,2024-01-22,505,2024-01-22
52,start_lesson,2024-01-05,785,2024-01-05
53,start_lesson,2024-02-24,342,2024-02-24
53,start_lesson,2024-02-28,700,2024-02-28
54,start_lesson,2024-03-05,861,2024-03-05
55,start_lesson,2024-01-15,642,2024-01-15
56,start_lesson,2024-01-31,376,2024-01-31
56,start_lesson,2024-01-26,649,2024-01-26
