user_id,registration_date,traffic_source,device
1,2024-02-08,referral,desktop
2,2024-02-21,ads,mobile
3,2024-01-29,referral,mobile
4,2024-01-15,referral,desktop
5,2024-02-12,organic,mobile
6,2024-01-08,organic,mobile
7,2024-03-01,referral,mobile
8,2024-01-21,organic,desktop
9,2024-02-08,organic,desktop
10,2024-02-27,organic,mobile
11,2024-01-19,social,mobile
12,2024-01-23,social,mobile
13,2024-01-11,referral,desktop
14,2024-01-11,organic,desktop
15,2024-01-24,social,desktop
16,2024-02-22,referral,mobile
17,2024-02-05,organic,mobile
18,2024-02-09,ads,mobile
19,2024-01-24,organic,mobile
20,2024-01-03,organic,mobile
21,2024-01-22,social,desktop
22,2024-02-22,referral,mobile
23,2024-01-02,referral,mobile
24,2024-01-24,social,mobile
25,2024-02-13,organic,desktop
26,2024-01-30,ads,mobile
27,2024-02-07,organic,desktop
28,2024-01-02,organic,desktop
29,2024-02-29,ads,desktop
30,2024-01-21,social,desktop
31,2024-02-02,referral,desktop
32,2024-01-12,social,mobile
33,2024-02-27,social,mobile
34,2024-01-22,organic,desktop
35,2024-03-01,referral,desktop
36,2024-02-13,referral,desktop
37,2024-01-25,social,mobile
38,2024-02-18,ads,mobile
39,2024-01-27,social,desktop
40,2024-02-28,ads,mobile
41,2024-02-11,referral,mobile
42,2024-01-28,social,desktop
43,2024-02-29,organic,desktop
44,2024-01-16,social,mobile
45,2024-01-15,referral,mobile
46,2024-02-16,organic,mobile
47,2024-02-20,organic,desktop
48,2024-02-13,ads,desktop
49,2024-02-24,organic,desktop
50,2024-02-21,organic,mobile
51,2024-02-26,social,mobile
52,2024-01-03,referral,desktop
53,2024-02-06,ads,mobile
54,2024-02-20,social,desktop
55,2024-01-07,organic,mobile
56,2024-01-21,organic,desktop
57,2024-01-09,ads,mobile
58,2024-02-08,referral,mobile
59,2024-01-18,ads,desktop
60,2024-01-04,social,desktop
61,2024-01-25,ads,desktop
62,2024-02-29,organic,desktop
63,2024-01-14,social,desktop
64,2024-02-19,organic,mobile
65,2024-02-27,referral,desktop
66,2024-01-09,organic,desktop
67,2024-01-26,organic,desktop
68,2024-02-22,ads,desktop
69,2024-01-02,organic,desktop
70,2024-01-20,social,mobile
71,2024-01-28,social,desktop
72,2024-02-16,referral,desktop
73,2024-02-29,social,desktop
74,2024-01-07,ads,mobile
75,2024-02-13,referral,mobile
76,2024-03-01,social,desktop
77,2024-01-08,ads,desktop
78,2024-02-16,social,mobile
79,2024-02-04,social,mobile
80,2024-01-14,organic,mobile
81,2024-01-17,social,desktop
82,2024-02-05,social,desktop
83,2024-02-19,ads,mobile
84,2024-02-09,ads,desktop
85,2024-01-04,organic,mobile
86,2024-01-02,social,mobile
87,2024-01-06,organic,mobile
88,2024-02-23,social,desktop
89,2024-02-11,referral,mobile
90,2024-01-04,referral,mobile
91,2024-02-23,organic,desktop
92,2024-01-29,organic,mobile
93,2024-01-18,organic,desktop
94,2024-01-26,ads,mobile
95,2024-02-13,ads,desktop
96,2024-02-03,ads,mobile
97,2024-01-10,organic,mobile
